Date,Power_kW,Holiday,Weekday,Hour,temp_C,solarRad_W/m2,Power-1
2017-07-23 19:00:00,148.5333031,1.0,6,19,20.2225,50.401,147.2605498
2017-07-23 20:00:00,145.4490583,1.0,6,20,18.7325,1.39775,148.5333031
2017-07-23 21:00:00,147.1935738,1.0,6,21,18.156666666666666,1.1696666666666666,145.4490583
2017-07-23 22:00:00,142.6590893,1.0,6,22,17.705000000000002,1.172,147.1935738
2017-07-23 23:00:00,138.7788766,1.0,6,23,17.56153846153846,1.8547692307692307,142.6590893
2017-07-24 00:00:00,126.0988547,3.0,0,0,17.385833333333334,1.0174166666666666,138.7788766
2017-07-24 01:00:00,141.2308261,3.0,0,1,17.485833333333332,0.7659166666666667,126.0988547
2017-07-24 02:00:00,143.5908929,3.0,0,2,17.46,1.3725833333333333,141.2308261
2017-07-24 03:00:00,143.3859882,3.0,0,3,17.413333333333334,1.6563333333333334,143.5908929
2017-07-24 04:00:00,142.3928597,3.0,0,4,17.394166666666667,1.1166666666666665,143.3859882
2017-07-24 05:00:00,147.9516584,3.0,0,5,17.340833333333332,4.468583333333333,142.3928597
2017-07-24 06:00:00,168.0882021,3.0,0,6,17.574166666666667,103.105,147.9516584
2017-07-24 07:00:00,200.9920458,3.0,0,7,17.981666666666666,279.81666666666666,168.0882021
2017-07-24 08:00:00,224.1397886,3.0,0,8,18.4875,493.72499999999997,200.9920458
2017-07-24 09:00:00,293.3134386,3.0,0,9,19.703333333333333,668.9250000000001,224.1397886
2017-07-24 10:00:00,327.4287107,3.0,0,10,20.831666666666667,813.5083333333333,293.3134386
2017-07-24 11:00:00,337.6255974,3.0,0,11,21.656666666666666,928.3333333333334,327.4287107
2017-07-24 12:00:00,326.3671411,3.0,0,12,23.287499999999998,971.5833333333334,337.6255974
2017-07-24 13:00:00,331.9544046,3.0,0,13,24.385,962.25,326.3671411
2017-07-24 14:00:00,350.2725499,3.0,0,14,24.316666666666666,897.5,331.9544046
2017-07-24 15:00:00,366.0610954,3.0,0,15,23.761666666666667,778.3333333333334,350.2725499
2017-07-24 16:00:00,344.8690518,3.0,0,16,23.126666666666665,618.4083333333333,366.0610954
2017-07-24 17:00:00,313.0190336,3.0,0,17,22.143333333333334,428.90000000000003,344.8690518
2017-07-24 18:00:00,247.0250692,3.0,0,18,21.18,227.3083333333333,313.0190336
2017-07-24 19:00:00,197.5570142,3.0,0,19,19.985,52.34525,247.0250692
2017-07-24 20:00:00,154.0035679,3.0,0,20,18.708333333333332,2.288,197.5570142
2017-07-24 21:00:00,143.4745221,3.0,0,21,18.086666666666666,3.003833333333333,154.0035679
2017-07-24 22:00:00,137.2256613,3.0,0,22,17.611666666666668,4.161583333333334,143.4745221
2017-07-24 23:00:00,138.1947203,3.0,0,23,17.220833333333335,2.574666666666667,137.2256613
2017-07-25 00:00:00,137.5257975,3.0,1,0,16.95,1.8123076923076922,138.1947203
2017-07-25 01:00:00,135.7065619,3.0,1,1,16.9975,2.0325,137.5257975
2017-07-25 02:00:00,134.6472946,3.0,1,2,17.037499999999998,3.3866666666666667,135.7065619
2017-07-25 03:00:00,134.2381131,3.0,1,3,16.766666666666666,2.4155,134.6472946
2017-07-25 04:00:00,125.5345819,3.0,1,4,17.139166666666668,2.6902500000000003,134.2381131
2017-07-25 05:00:00,146.0635631,3.0,1,5,16.68166666666667,9.563,125.5345819
2017-07-25 06:00:00,162.6024491,3.0,1,6,17.261666666666667,128.99333333333334,146.0635631
2017-07-25 07:00:00,193.7333125,3.0,1,7,18.270833333333332,310.1333333333333,162.6024491
2017-07-25 08:00:00,224.5719931,3.0,1,8,20.3625,505.7583333333334,193.7333125
2017-07-25 09:00:00,286.0781469,3.0,1,9,22.397499999999997,688.6166666666667,224.5719931
2017-07-25 10:00:00,322.146188,3.0,1,10,25.22666666666667,835.25,286.0781469
2017-07-25 11:00:00,330.158192,3.0,1,11,27.301666666666666,933.4166666666666,322.146188
2017-07-25 12:00:00,302.1249686,3.0,1,12,28.300833333333333,973.5833333333334,330.158192
2017-07-25 13:00:00,326.8370196,3.0,1,13,29.109166666666667,961.9166666666666,302.1249686
2017-07-25 14:00:00,380.1714735,3.0,1,14,29.131666666666664,892.8333333333334,326.8370196
2017-07-25 15:00:00,392.8575651,3.0,1,15,27.889166666666668,787.5833333333334,380.1714735
2017-07-25 16:00:00,411.9281439,3.0,1,16,26.757500000000004,634.3583333333333,392.8575651
2017-07-25 17:00:00,375.1078786,3.0,1,17,25.986666666666665,438.7166666666667,411.9281439
2017-07-25 18:00:00,285.3964568,3.0,1,18,24.71166666666667,231.85833333333335,375.1078786
2017-07-25 19:00:00,235.3455013,3.0,1,19,22.40833333333333,52.56283333333334,285.3964568
2017-07-25 20:00:00,170.476943,3.0,1,20,20.98,0.6663333333333333,235.3455013
2017-07-25 21:00:00,146.5732086,3.0,1,21,20.395833333333332,1.0287499999999998,170.476943
2017-07-25 22:00:00,142.1682808,3.0,1,22,19.565833333333334,1.9375,146.5732086
2017-07-25 23:00:00,139.5894955,3.0,1,23,19.734166666666667,1.1970833333333333,142.1682808
2017-07-26 00:00:00,140.0229558,3.0,2,0,19.44666666666667,2.30425,139.5894955
2017-07-26 01:00:00,137.5232859,3.0,2,1,19.496666666666666,2.521333333333333,140.0229558
2017-07-26 02:00:00,136.7229227,3.0,2,2,19.930833333333336,2.3965,137.5232859
2017-07-26 03:00:00,135.6188652,3.0,2,3,20.131666666666668,2.7611666666666665,136.7229227
2017-07-26 04:00:00,134.8220601,3.0,2,4,20.440833333333334,2.4959166666666666,135.6188652
2017-07-26 05:00:00,137.7459811,3.0,2,5,19.9775,7.568416666666667,134.8220601
2017-07-26 06:00:00,153.2209952,3.0,2,6,20.230833333333333,110.7025,137.7459811
2017-07-26 07:00:00,184.855853,3.0,2,7,20.974166666666665,301.94166666666666,153.2209952
2017-07-26 08:00:00,244.9285111,3.0,2,8,22.776666666666667,498.4083333333333,184.855853
2017-07-26 09:00:00,317.4978443,3.0,2,9,24.481666666666666,687.2916666666666,244.9285111
2017-07-26 10:00:00,342.8084933,3.0,2,10,25.435,832.1666666666666,317.4978443
2017-07-26 11:00:00,358.5805041,3.0,2,11,27.285,927.8333333333334,342.8084933
2017-07-26 12:00:00,322.4620217,3.0,2,12,28.515,970.3333333333334,358.5805041
2017-07-26 13:00:00,332.8636038,3.0,2,13,29.138333333333335,958.1666666666666,322.4620217
2017-07-26 14:00:00,371.3498971,3.0,2,14,29.316666666666666,896.25,332.8636038
2017-07-26 15:00:00,394.4612217,3.0,2,15,29.03,784.0,371.3498971
2017-07-26 16:00:00,376.5727693,3.0,2,16,28.594166666666666,626.9250000000001,394.4612217
2017-07-26 17:00:00,335.4413426,3.0,2,17,27.49083333333333,439.39166666666665,376.5727693
2017-07-26 18:00:00,253.8559933,3.0,2,18,26.319166666666664,235.31666666666663,335.4413426
2017-07-26 19:00:00,209.6562286,3.0,2,19,24.5575,55.22508333333334,253.8559933
2017-07-26 20:00:00,173.3102371,3.0,2,20,22.833333333333332,0.9107500000000001,209.6562286
2017-07-26 21:00:00,166.1812698,3.0,2,21,21.3425,0.49825,173.3102371
2017-07-26 22:00:00,157.1045567,3.0,2,22,20.212500000000002,0.5628333333333333,166.1812698
2017-07-26 23:00:00,152.1832858,3.0,2,23,19.776153846153843,0.6303076923076922,157.1045567
2017-07-27 00:00:00,151.8525918,3.0,3,0,19.337500000000002,0.9780000000000001,152.1832858
2017-07-27 01:00:00,148.9255313,3.0,3,1,18.905833333333334,1.27325,151.8525918
2017-07-27 02:00:00,147.9972858,3.0,3,2,17.995,2.2655833333333333,148.9255313
2017-07-27 03:00:00,147.5535698,3.0,3,3,17.215,3.7655,147.9972858
2017-07-27 04:00:00,142.3373952,3.0,3,4,16.669999999999998,2.0117499999999997,147.5535698
2017-07-27 05:00:00,148.196958,3.0,3,5,16.44666666666667,10.2295,142.3373952
2017-07-27 06:00:00,160.719377,3.0,3,6,17.0275,139.68,148.196958
2017-07-27 07:00:00,195.4294797,3.0,3,7,18.232499999999998,337.0083333333333,160.719377
2017-07-27 08:00:00,243.4159,3.0,3,8,19.496666666666666,539.8916666666667,195.4294797
2017-07-27 09:00:00,308.2945047,3.0,3,9,20.558333333333334,720.7416666666667,243.4159
2017-07-27 10:00:00,330.2201448,3.0,3,10,21.224166666666665,862.4166666666666,308.2945047
2017-07-27 11:00:00,340.3603112,3.0,3,11,21.8275,954.5,330.2201448
2017-07-27 12:00:00,309.7637907,3.0,3,12,23.186666666666667,995.0833333333334,340.3603112
2017-07-27 13:00:00,320.9826893,3.0,3,13,24.7225,979.3333333333334,309.7637907
2017-07-27 14:00:00,356.9439874,3.0,3,14,25.028333333333336,913.9166666666666,320.9826893
2017-07-27 15:00:00,374.2863761,3.0,3,15,25.581666666666667,791.75,356.9439874
2017-07-27 16:00:00,374.0967503,3.0,3,16,24.165000000000003,627.475,374.2863761
2017-07-27 17:00:00,328.0553549,3.0,3,17,23.97083333333333,434.15000000000003,374.0967503
2017-07-27 18:00:00,250.3439393,3.0,3,18,22.305000000000003,226.60833333333335,328.0553549
2017-07-27 19:00:00,195.7026162,3.0,3,19,20.4675,49.92358333333333,250.3439393
2017-07-27 20:00:00,167.0933992,3.0,3,20,19.183333333333334,2.3200833333333333,195.7026162
2017-07-27 21:00:00,162.5827749,3.0,3,21,18.618333333333336,1.5408333333333335,167.0933992
2017-07-27 22:00:00,157.008488,3.0,3,22,18.575,1.6794166666666666,162.5827749
2017-07-27 23:00:00,148.2804687,3.0,3,23,18.37818181818182,1.940363636363636,157.008488
2017-07-28 00:00:00,150.6411634,3.0,4,0,18.11,0.7313333333333333,148.2804687
2017-07-28 01:00:00,147.5757556,3.0,4,1,18.3,1.01275,150.6411634
2017-07-28 02:00:00,148.9447869,3.0,4,2,18.56833333333333,1.0381666666666667,147.5757556
2017-07-28 03:00:00,148.2139113,3.0,4,3,18.44666666666667,0.8835833333333333,148.9447869
2017-07-28 04:00:00,146.6537891,3.0,4,4,18.350833333333334,0.8510833333333334,148.2139113
2017-07-28 05:00:00,149.3165037,3.0,4,5,18.2525,8.828166666666666,146.6537891
2017-07-28 06:00:00,161.8786897,3.0,4,6,18.965833333333332,127.2675,149.3165037
2017-07-28 07:00:00,195.3001323,3.0,4,7,20.381666666666664,322.0416666666667,161.8786897
2017-07-28 08:00:00,246.0520335,3.0,4,8,21.497999999999998,504.43,195.3001323
2017-07-28 09:00:00,306.4468043,3.0,4,9,21.35605882352941,474.7830808823529,246.0520335
2017-07-28 10:00:00,346.5444983,3.0,4,10,21.21411764705882,445.1361617647059,306.4468043
